Época,Actor_Loss_Avg,Actor_Loss_Min,Actor_Loss_Max,Critic_Loss_Avg,Critic_Loss_Min,Critic_Loss_Max,Train_Rewards_Avg,Train_Rewards_Min,Train_Rewards_Max
0,-0.887860558145159,-0.9647573830923633,-0.8250365587887667,0.016729292707194383,0.013790301541005646,0.022939111233819098,0.7682754747600011,0.6736318733998169,0.8719253374362802
1,-0.9250622965494792,-1.0265308374166489,-0.8421028682589531,0.01064040944391551,0.007859379961853846,0.015794461637269705,0.7938940389201109,0.6894209453281239,0.9138830556218709
2,-0.958189620345831,-1.0737693813443183,-0.8735404978394509,0.010016644130732553,0.006983150468440727,0.01530135743226856,0.8130137415804463,0.7159602691329144,0.9295470983891786
3,-0.9962099022269247,-1.1204998565912248,-0.9030073611140251,0.01032256974601963,0.007159122012555599,0.015307711340021343,0.8193360944479084,0.7314656583316946,0.9334776225920078
4,-1.039182185471058,-1.1661550076007843,-0.944245570063591,0.009895636175875551,0.006710242033470422,0.014389968349598348,0.8279755747972795,0.7369162673378664,0.936548758344604
5,-1.0408153837621212,-1.1867270402908325,-0.9117071241140365,0.030580409163143484,0.020215645261108875,0.049533690840005876,0.7898765806539205,0.6664157415614768,0.9074892189573829
6,-1.1083608534236749,-1.2505320568084717,-0.9677632877826691,0.018880894164787606,0.013061619318556041,0.02994967282284051,0.8208904292545399,0.7271819615800437,0.9406350568010519
7,-1.1566559860110281,-1.2934517772197724,-1.0001669174432755,0.015145234042390559,0.01093778229970485,0.023669591740705074,0.8389964339197519,0.7400162654864355,0.9493708946285684
8,-1.2055420574645201,-1.341097815990448,-1.0398320482373238,0.01298170278869414,0.009597564732190221,0.019436532627791166,0.8493278295401332,0.7550453310391094,0.9527256523240052
9,-1.2540165063242117,-1.392911076784134,-1.0793906527161599,0.011775195591889012,0.008493227242259309,0.017323891217820346,0.854333529732603,0.7516133229239081,0.9567493887746468
10,-1.2550350607534249,-1.4199675487279892,-1.0464559907317161,0.02594913340569474,0.015296511283610016,0.04280079440586269,0.8143218977932078,0.6785245221545742,0.9245971858611488
11,-1.3147359241147836,-1.4763998154401778,-1.0996970705389977,0.018095982715681507,0.010846188365714625,0.02894704488571733,0.8289587356254368,0.7000248338039665,0.9477814195744437
12,-1.3706519416173297,-1.5285103662014008,-1.156462797164917,0.0154475965485132,0.009337633857503533,0.02428145451936871,0.8493806807816154,0.7475718898216974,0.9583983535899379
13,-1.427822116772334,-1.5825154458284378,-1.220387039065361,0.01332392348915649,0.008152947231195867,0.0211090281191282,0.86038742747803,0.7546623802805277,0.9606923344008101
14,-1.4788125544190407,-1.6330726164579392,-1.267481352686882,0.012064440981193914,0.007492481836699881,0.019292364819906652,0.8659178723367456,0.7561419524021405,0.9628300435445615
